tenure,Contract_Two year,TenureServicesScore,InternetType,Fiber_Monthly,InternetService_Fiber optic,IsNewCustomer,IsLongCustomer,MonthlyCharges,PaymentMethod_Electronic check,InternetService_No,Contract_One year,Partner,OnlineSecurity,PaperlessBilling,OnlineBackup,TotalServicesCount,AutomaticPayment,TechSupport,Dependents,PaymentMethod_Credit card (automatic),StreamingTV,SeniorCitizen,DeviceProtection,MultipleLines_Yes,StreamingMovies,Churn
1,0,1.0,1,0.0,0,1,0,29.85,1,0,0,1,0.0,1,1.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
34,0,102.0,1,0.0,0,0,1,56.95,0,0,1,0,1.0,0,0.0,3.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0
2,0,6.0,1,0.0,0,1,0,53.85,0,0,0,0,1.0,1,1.0,3.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
45,0,135.0,1,0.0,0,0,1,42.3,0,0,1,0,1.0,0,0.0,3.0,0,1.0,0,0,0.0,0,1.0,0,0.0,0
2,0,2.0,2,70.7,1,1,0,70.7,1,0,0,0,0.0,1,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
8,0,40.0,2,99.65,1,0,0,99.65,1,0,0,0,0.0,1,0.0,5.0,0,0.0,0,0,1.0,0,1.0,1,1.0,1
22,0,88.0,2,89.1,1,0,0,89.1,0,0,0,0,0.0,1,1.0,4.0,1,0.0,1,1,1.0,0,0.0,1,0.0,0
10,0,10.0,1,0.0,0,0,0,29.75,0,0,0,0,1.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
28,0,168.0,2,104.8,1,0,1,104.8,1,0,0,1,0.0,1,0.0,6.0,0,1.0,0,0,1.0,0,1.0,1,1.0,1
62,0,186.0,1,0.0,0,0,1,56.15,0,0,1,0,1.0,0,1.0,3.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
13,0,26.0,1,0.0,0,0,0,49.95,0,0,0,1,1.0,1,0.0,2.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0
16,1,16.0,0,0.0,0,0,0,18.95,0,1,0,0,0.0,0,0.0,1.0,1,0.0,0,1,0.0,0,0.0,0,0.0,0
58,0,290.0,2,100.35,1,0,1,100.35,0,0,1,1,0.0,0,0.0,5.0,1,0.0,0,1,1.0,0,1.0,1,1.0,0
49,0,294.0,2,103.7,1,0,1,103.7,0,0,0,0,0.0,1,1.0,6.0,0,0.0,0,0,1.0,0,1.0,1,1.0,1
25,0,150.0,2,105.5,1,0,1,105.5,1,0,0,0,1.0,1,0.0,6.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0
69,1,552.0,2,113.25,1,0,1,113.25,0,0,0,1,1.0,0,1.0,8.0,1,1.0,1,1,1.0,0,1.0,1,1.0,0
52,0,52.0,0,0.0,0,0,1,20.65,0,1,1,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
71,1,426.0,2,106.7,1,0,1,106.7,0,0,0,0,1.0,0,0.0,6.0,0,0.0,1,0,1.0,0,1.0,1,1.0,0
10,0,30.0,1,0.0,0,0,0,55.2,0,0,0,1,0.0,0,0.0,3.0,1,1.0,1,1,0.0,0,1.0,0,0.0,1
21,0,84.0,2,90.05,1,0,0,90.05,1,0,0,0,0.0,1,1.0,4.0,0,0.0,0,0,0.0,0,1.0,0,1.0,0
1,0,2.0,1,0.0,0,1,0,39.65,1,0,0,0,0.0,1,0.0,2.0,0,0.0,0,0,0.0,1,1.0,0,1.0,1
12,0,12.0,0,0.0,0,0,0,19.8,0,1,1,1,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0
1,0,1.0,0,0.0,0,1,0,20.15,0,1,0,0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1
58,1,232.0,1,0.0,0,0,1,59.9,0,0,0,1,0.0,1,1.0,4.0,1,1.0,0,1,0.0,0,0.0,1,0.0,0
